evento_id,viaje_id,carro_modelo,autonomia_km,origen_nombre,destino_nombre,evento_nodo,evento_lat,evento_lon,bateria_pct,km_restantes,electro_id,electro_nombre,electro_nodo,electro_lat,electro_lon,dist_electro_km
705,10660,BYD SEAL 82.5 kWh RWD Design,455.0,UNAB,UIS Parque Tecnológico Guatiguará,599017167,7.03965,-73.090051,19.74,89.8013,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,7.7883
706,10666,BYD DOLPHIN SURF 30 kWh Active,190.0,UTS (Unidades Tecnológicas de Santander),UIS Parque Tecnológico Guatiguará,1197396362,7.01608,-73.09602,19.92,37.8571,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,10.0986
707,10683,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Parque Tecnológico Guatiguará,UTS (Unidades Tecnológicas de Santander),1110626615,7.058725,-73.10003,19.64,37.3227,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,2.9435
708,10701,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Florida,PTAR Río Frío,845065294,7.063636,-73.097439,19.8,37.6143,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,1.7144
709,10713,BYD SEAL 82.5 kWh RWD Design,455.0,UIS Campus Central,UTS (Unidades Tecnológicas de Santander),2727712821,7.10704,-73.121849,19.99,90.9426,5,Éxito de la Rosita,286739945,7.113534997127967,-73.12309979445544,1.1888
710,10730,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Bucarica (Centro),Sede Recreacional Catay,12966576994,7.096919,-73.102675,19.94,37.8877,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,1.1896
711,10749,BYD SEAL 82.5 kWh RWD Design,455.0,UNAB,Sede Recreacional Catay,1197338182,6.997524,-73.086822,19.84,90.2691,4,Estacion de Servicio Terpel de Piedecuesta,9602033008,6.998348410998912,-73.05270638323637,5.0408
712,10752,BYD DOLPHIN SURF 30 kWh Active,190.0,Sede Recreacional Catay,PTAR Río Frío,1160299002,7.032956,-73.091548,19.93,37.8697,3,Centro Comercial Canaveral,4703451524,7.070722605372017,-73.10545322620052,9029
713,10772,BYD DOLPHIN SURF 30 kWh Active,190.0,UTS (Unidades Tecnológicas de Santander),UNAB,1109271540,7.109185,-73.113096,19.97,37943,1,Centro Comercial Quinta Etapa,2746158992,7.115473864260488,-73.10771498564486,1.3432
714,10793,BYD DOLPHIN SURF 30 kWh Active,190.0,UIS Campus Central,PTAR Río Frío,12966576994,7.096919,-73.102675,19.84,37.7013,2,Centro Comercial Cacique,5631396478,7.099383171372943,-73.10738728564714,1.1896
