vehiculo,gama,lat_actual,lon_actual,electrolinera,lat_electrolinera,lon_electrolinera,distancia_metros,bateria_al_recargar,nodos_recorridos
BYD SEAL 82.5 kWh RWD Design,alta,7.0155251,-73.0569121,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,2111.79,0.1998,5606666
BYD SEAL 82.5 kWh RWD Design,alta,7.0844821,-73.1566561,Promotores del Oriente (vía a Girón),7.085743648912543,-73.16471385719439,1081.29,0.1982,5609094
BYD SEAL 82.5 kWh RWD Design,alta,7.050504,-73.0814398,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,4266.73,0.1999,5611693
BYD SEAL 82.5 kWh RWD Design,alta,7.0828946,-73.1212605,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,3555.52,0.2,5614405
BYD SEAL 82.5 kWh RWD Design,alta,7.0606369,-73.091317,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,5638.61,0.1999,5617176
BYD SEAL 82.5 kWh RWD Design,alta,7.0493305,-73.0802989,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,4448.15,0.1984,5619913
BYD SEAL 82.5 kWh RWD Design,alta,7.0942829,-73.1104195,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2736.26,0.1998,5622774
BYD SEAL 82.5 kWh RWD Design,alta,7.1038051,-73.1100319,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,798.01,0.1999,5625536
BYD SEAL 82.5 kWh RWD Design,alta,7.1197802,-73.1233171,Homecenter,7.115794947043329,-73.12049190407198,907.2,0.2,5628249
BYD SEAL 82.5 kWh RWD Design,alta,7.0624005,-73.0932134,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2227.89,0.1999,5630915
BYD SEAL 82.5 kWh RWD Design,alta,7.084739,-73.1076632,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2765.16,0.2,5633371
BYD SEAL 82.5 kWh RWD Design,alta,7.133071,-73.1200995,Homecenter,7.115794947043329,-73.12049190407198,2222.38,0.1999,5636211
BYD SEAL 82.5 kWh RWD Design,alta,7.037077,-73.0720523,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,6008.06,0.1998,5639026
BYD SEAL 82.5 kWh RWD Design,alta,6.9754697,-73.0425116,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,4856.83,0.1997,5641784
BYD SEAL 82.5 kWh RWD Design,alta,7.1001676,-73.1114479,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,1227.53,0.1986,5644619
BYD SEAL 82.5 kWh RWD Design,alta,7.035295,-73.0717495,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,6215.55,0.1995,5647298
BYD SEAL 82.5 kWh RWD Design,alta,7.0606369,-73.091317,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,5638.61,0.1991,5650018
BYD SEAL 82.5 kWh RWD Design,alta,7.0389657,-73.0742196,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,5688.92,0.1997,5652674
BYD SEAL 82.5 kWh RWD Design,alta,7.1089312,-73.1157107,Éxito de la Rosita,7.113534997127967,-73.12309979445544,999.15,0.1999,5655528
BYD SEAL 82.5 kWh RWD Design,alta,7.1036145,-73.1233657,Éxito de la Rosita,7.113534997127967,-73.12309979445544,1450.72,0.2,5658248
BYD SEAL 82.5 kWh RWD Design,alta,7.0376337,-73.0729606,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,5197.87,0.1997,5661084
BYD SEAL 82.5 kWh RWD Design,alta,7.0214222,-73.0613535,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,2881.38,0.1993,5663885
BYD SEAL 82.5 kWh RWD Design,alta,7.0606369,-73.091317,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,5638.61,0.1988,5666484
BYD SEAL 82.5 kWh RWD Design,alta,7.038461,-73.0741418,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,5357.43,0.1999,5669132
BYD SEAL 82.5 kWh RWD Design,alta,7.103382,-73.1106076,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,847.74,0.2,5671882
BYD SEAL 82.5 kWh RWD Design,alta,7.0329433,-73.0711936,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,4906.24,0.199,5674628
BYD SEAL 82.5 kWh RWD Design,alta,7.1278578,-73.1193804,Homecenter,7.115794947043329,-73.12049190407198,1635.64,0.1998,5677229
BYD SEAL 82.5 kWh RWD Design,alta,7.0776341,-73.1079166,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,1061.61,0.1998,5679816
BYD SEAL 82.5 kWh RWD Design,alta,7.0618179,-73.0929734,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,2815.06,0.1996,5682469
BYD SEAL 82.5 kWh RWD Design,alta,7.1096367,-73.1097766,Centro Comercial Quinta Etapa,7.115473864260488,-73.10771498564486,973.5,0.1998,5685139
BYD SEAL 82.5 kWh RWD Design,alta,7.0921441,-73.1134597,Centro Comercial Cacique,7.099383171372943,-73.10738728564714,2636.59,0.2,5687834
BYD SEAL 82.5 kWh RWD Design,alta,7.0921303,-73.1301015,Éxito de la Rosita,7.113534997127967,-73.12309979445544,3334.89,0.1998,5690550
BYD SEAL 82.5 kWh RWD Design,alta,7.084057,-73.1477694,Promotores del Oriente (vía a Girón),7.085743648912543,-73.16471385719439,2070.89,0.1994,5693035
BYD SEAL 82.5 kWh RWD Design,alta,7.0726183,-73.1072658,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,251.88,0.1998,5695794
BYD SEAL 82.5 kWh RWD Design,alta,7.0253006,-73.064528,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,4792.62,0.1995,5698524
BYD SEAL 82.5 kWh RWD Design,alta,7.0396159,-73.0745518,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,5607.82,0.1999,5701215
BYD SEAL 82.5 kWh RWD Design,alta,7.0717599,-73.1059329,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,650.96,0.2,5704125
BYD SEAL 82.5 kWh RWD Design,alta,7.0848415,-73.1080546,Centro Comercial Canaveral,7.070722605372017,-73.10545322620052,1644.32,0.1997,5707065
BYD SEAL 82.5 kWh RWD Design,alta,7.0010298,-73.0541045,Estacion de Servicio Terpel de Piedecuesta,6.998348410998912,-73.05270638323637,364.51,0.1994,5709943
